SERVICE REQUEST #,DATE RECEIVED,LOT LOCATION,DANGEROUS OR HAZARDOUS?,Dangerous flag,OPEN OR BOARDED?,Open flag,ENTRY POINT,VACANT OR OCCUPIED?,Vacant flag,VACANT DUE TO FIRE?,Fire flag,ANY PEOPLE USING PROPERTY?,In use flag,ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,Full Address,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,Location
11-00001710,01/01/2011,Front,,2,Open,1,REAR,Vacant,1,,0,,0,1427,S,ST LOUIS,AVE,60623,1427 S ST LOUIS AVE chicago IL 60623,1153268.14610007,1892910.36801408,41.861991117568905,-87.71285525975965,"41.861991117568905,-87.71285525975965"
11-00001993,01/01/2011,Front,,2,Open,1,FRONT AND REAR,Vacant,1,,0,1,1,952,N,LOCKWOOD,AVE,60651,952 N LOCKWOOD AVE chicago IL 60651,1140849.70919731,1905836.05189713,41.89769807845251,-87.75812394284395,"41.89769807845251,-87.75812394284395"
11-00002159,01/01/2011,Front,,2,Open,1,,Vacant,1,,0,1,1,4046,W,PALMER,ST,60639,4046 W PALMER ST chicago IL 60639,1148946.422618,1914312.93159061,41.92080665863923,-87.72816564560988,"41.92080665863923,-87.72816564560988"
11-00002535,01/01/2011,Front,,2,Open,1,SIDE DR,Vacant,1,,0,1,1,9136,S,CARPENTER,ST,60620,9136 S CARPENTER ST chicago IL 60620,1170922.08966622,1844225.68972654,41.72802658720868,-87.64947225457534,"41.72802658720868,-87.64947225457534"
11-00002627,01/01/2011,Front,,2,Open,1,REAR DOOR AND GARAGE IS OPEN,Vacant,1,,0,,0,8200,S,TALMAN,AVE,60652,8200 S TALMAN AVE chicago IL 60652,1160132.32077264,1850161.37970887,41.744543509267515,-87.68883456043969,"41.744543509267515,-87.68883456043969"
11-00002926,01/01/2011,Front,,2,Open,1,ALL DOORS AND WINDOWS,Vacant,1,,0,1,1,2642,W,WILCOX,ST,60612,2642 W WILCOX ST chicago IL 60612,1158777.63143002,1899255.44661489,41.87929159238292,-87.69245683699296,"41.87929159238292,-87.69245683699296"
11-00003866,01/02/2011,Front,,2,Open,1,FRONT,Vacant,1,,0,1,1,4813,S,WOOD,ST,60609,4813 S WOOD ST chicago IL 60609,1165159.19071745,1872776.87307521,41.80649860878734,-87.6697760057757,"41.80649860878734,-87.6697760057757"
11-00003977,01/02/2011,Front,,2,Boarded,0,SIDE,Vacant,1,,0,1,1,10357,S,AVENUE L,,60617,10357 S AVENUE L  chicago IL 60617,1201831.77168224,1836889.71187722,41.707166442237195,-87.53649515949978,"41.707166442237195,-87.53649515949978"
11-00003999,01/02/2011,Front,,2,Boarded,0,REAR DR,Vacant,1,,0,1,1,11826,S,YALE,AVE,60628,11826 S YALE AVE chicago IL 60628,1176736.83891281,1826516.11648117,41.67930025439897,-87.62870262510032,"41.67930025439897,-87.62870262510032"
11-00004013,01/02/2011,Front,,2,Open,1,,Vacant,1,,0,1,1,6154,W,PATTERSON,AVE,60634,6154 W PATTERSON AVE chicago IL 60634,1134696.44357218,1923631.06871859,41.94664068148355,-87.78030307322024,"41.94664068148355,-87.78030307322024"
