request_number,date_received,location_on_lot,dangerous_or_hazardous,dangerous,open_or_boarded,open,entry_point,vacant_or_occupied,vacant_flag,vacant_due_to_fire,fire_flag,people_using_property,in_use_flag,address_street_num,address_street_dir,address_street_name,address_street_suffix,zip_code,full_address,x_coordinate,y_coordinate,latitude,longitude,location,the_geom,area_number,community_area,neigh_number,neighborhood
11-00759819,2011-04-11 00:00:00,,,2,,2,,,2,,0,,0,5822,N,WESTERN,AVE,60659,5822 N WESTERN AVE chicago IL 60659,1159270.59243006,1938589.33997995,41.9872163179679,-87.6895622716703,"41.9872163179679,-87.68956227167031",01010000204FE58A00157FA99766B031410FED08579D943D41,4,LINCOLN SQUARE,,
12-00647901,2012-03-21 00:00:00,Front,,2,Open,1,FRONT,Vacant,1,,0,,0,2345,W,BERWYN,AVE,60625,2345 W BERWYN AVE chicago IL 60625,1159595.72627045,1935131.66382947,41.9777215949825,-87.6884621668706,"41.97772159498248,-87.68846216687058",01010000204FE58A0037DCECB9ABB1314168BAF0A91B873D41,4,LINCOLN SQUARE,,
11-04053150,2011-11-01 00:00:00,Front,,2,Open,1,ALL ENTRIES NO WINDOWS,Vacant,1,,0,,0,6000,S,VERNON,AVE,60637,6000 S VERNON AVE chicago IL 60637,1180302.85012672,1865328.51662169,41.7857253875057,-87.6144630350872,"41.78572538750566,-87.61446303508718",01010000204FE58A009CE7A1D98E023241AF51418470763C41,40,WASHINGTON PARK,,
11-03498619,2011-07-31 00:00:00,Front,,2,Open,1,?,Vacant,1,,0,,0,5952,S,DORCHESTER,AVE,60637,5952 S DORCHESTER AVE chicago IL 60637,1186567.64029768,1865670.30668156,41.7865172578855,-87.5914828382228,"41.786517257885485,-87.59148283822282",01010000204FE58A007B8CEAA3071B3241C6AE824EC6773C41,41,HYDE PARK,,
11-03669091,2011-08-26 00:00:00,Front,,2,Open,1,FRONT,Vacant,1,,0,,0,5660,N,LAS CASAS,AVE,60646,5660 N LAS CASAS AVE chicago IL 60646,1142342.84496675,1937317.61648884,41.9840588894417,-87.7518554019474,"41.98405888944175,-87.75185540194742",01010000204FE58A00ADBD4FD8466E31416E36D29DA58F3D41,12,FOREST GLEN,,
11-03717496,2011-09-02 00:00:00,Front,,2,Open,1,COMP OPEN,Vacant,1,,0,,0,5525,N,FOREST GLEN,AVE,60630,5525 N FOREST GLEN AVE chicago IL 60630,1141879.70902444,1936541.6606983,41.9819382233043,-87.7535780850817,"41.98193822330429,-87.75357808508167",01010000204FE58A002EA082B5776C3141178623A99D8C3D41,12,FOREST GLEN,,
11-00406749,2011-03-11 00:00:00,Front,,2,Boarded,0,,Vacant,1,,0,1,1,2013,W,FULLERTON,AVE,60647,2013 W FULLERTON AVE chicago IL 60647,1162474.80988649,1915947.64987793,41.9250197018512,-87.6784134960474,"41.92501970185125,-87.67841349604741",01010000204FE58A0094B854CFEABC314168665EA62B3C3D41,22,LOGAN SQUARE,,
11-00760993,2011-04-11 00:00:00,,,2,,2,,,2,,0,,0,2040,N,ASHLAND,AVE,60614,2040 N ASHLAND AVE chicago IL 60614,1165281.96896738,1913732.62320856,41.9188822380121,-87.6681618725895,"41.9188822380121,-87.6681618725895",01010000204FE58A00083F0EF8E1C73141A0988A9F84333D41,22,LOGAN SQUARE,,
11-01904986,2011-05-19 00:00:00,,,2,,2,,,2,,0,,0,2318,N,LISTER,AVE,60614,2318 N LISTER AVE chicago IL 60614,1163043.6520243,1915199.42243247,41.9229545768178,-87.6763443779838,"41.92295457681775,-87.67634437798375",01010000204FE58A008510EBA623BF3141CB88246C3F393D41,22,LOGAN SQUARE,,
11-00434581,2011-03-16 00:00:00,Front,,2,Open,1,COMMERCIAL PROP./ABANDON MCDONALDS ARMITAGE/HARLEM - DOORS/WINDOWS UNSECURED,Vacant,1,,0,1,1,7199,W,ARMITAGE,AVE,60707,7199 W ARMITAGE AVE chicago IL 60707,1127772.70139733,1912490.40247034,41.9161890704283,-87.8060050456045,"41.916189070428324,-87.80600504560446",01010000204FE58A0082C68EB35C353141D44B0867AA2E3D41,25,AUSTIN,,
11-01327558,2011-05-02 00:00:00,Front,,2,Open,1,,Vacant,1,,0,1,1,2001,N,HARLEM,AVE,60707,2001 N HARLEM AVE chicago IL 60707,1127772.70139733,1912490.40247034,41.9161890704283,-87.8060050456045,"41.916189070428324,-87.80600504560446",01010000204FE58A0082C68EB35C353141D44B0867AA2E3D41,25,AUSTIN,,
11-00340385,2011-03-01 00:00:00,,,2,,2,,,2,,0,,0,2241,W,95TH,ST,60643,2241 W 95TH ST chicago IL 60643,1162990.58241802,1841599.64148021,41.720989533112,-87.6786001132906,"41.72098953311201,-87.67860011329061",01010000204FE58A00ED581995EEBE31410B0C38A4BF193C41,72,BEVERLY,14,Beverly
12-00640960,2012-03-20 00:00:00,,,2,,2,,,2,,0,,0,1706,E,73RD,ST,60649,1706 E 73RD ST chicago IL 60649,1188865.41582438,1856915.85587641,41.7624396247904,-87.5833380607255,"41.76243962479039,-87.58333806072547",01010000204FE58A007177736A0124324166B71ADB93553C41,43,SOUTH SHORE,188,South Shore
11-00261860,2011-02-15 00:00:00,Front,,2,Open,1,,Vacant,1,1,1,,0,3400,S,KEDZIE,AVE,60623,3400 S KEDZIE AVE chicago IL 60623,1155579.01058524,1881866.68020764,41.8316398124012,-87.704669160964,"41.831639812401235,-87.70466916096397",01010000204FE58A00DCB6B502FBA13141801622AE0AB73C41,30,SOUTH LAWNDALE,,
11-01357719,2011-05-03 00:00:00,Front,,2,Open,1,,Vacant,1,,0,,0,3401,S,LAWNDALE,AVE,60623,3401 S LAWNDALE AVE chicago IL 60623,1152246.57367957,1881799.83018509,41.8315226384779,-87.7168980714132,"41.83152263847795,-87.71689807141321",01010000204FE58A0010AADC92F6943141930287D4C7B63C41,30,SOUTH LAWNDALE,,
11-04263510,2011-12-16 00:00:00,Front,,2,Open,1,,Vacant,1,,0,1,1,3528,W,SANITARY SHIP CANAL,,60632,3528 W SANITARY SHIP CANAL  chicago IL 60632,1153382.72168859,1880935.24927739,41.8291276695667,-87.712752317889,"41.82912766956666,-87.71275231788897",01010000204FE58A005C95C0B8669931419EA4D03F67B33C41,30,SOUTH LAWNDALE,,
11-00262019,2011-02-15 00:00:00,Front,,2,Open,1,,Vacant,1,1,1,,0,2841,S,ASHLAND,AVE,60608,2841 S ASHLAND AVE chicago IL 60608,1166142.12570094,1885208.14572948,41.8405904627395,-87.6658167012895,"41.84059046273948,-87.66581670128954",01010000204FE58A00D2EF2D203ECB3141F7864E2518C43C41,31,LOWER WEST SIDE,,
